City_ID,City_Name,Locality_ID,Locality_Name,Concatenate,File_Locality_Name,Script
2,Bangalore,,,BangaloreDooravani Nagar,Dooravani Nagar,c{knAwjcyMiErDmChEwBbGEdACbFrA`I[|LQpPoBfWcGf^hZw@zO_AzPgAxTE|Ha@vD_BqEgHvBfF]XsC[kEE]m@nBaDf@gAf@_ANIdAfBPVbIvMvMuFiLg\\iAtBdEjQ?tAoGbDQMyDaJlBk@p@u@tAgCLoEzAsCgJiUwPob@}KrFiB]mLJiRma@m@P
2,Bangalore,,,BangaloreSoladevanahalli,Soladevanahalli,ke|nA}w{wMfYtF`GgJu@gB`@u@bNgD|FXZeDDaJyB_K]kMwEk@eEAuQsLoGhFsB|CsDv@gD|CaB|As@`C}@jGl@zFvEl[
2,Bangalore,,,BangaloreAppajipura,Appajipura,yeinAibwyMiGtDuG`Dcj@y`@yc@kLjH{_@dWfArd@t[jMuMjJ`t@
2,Bangalore,,,BangaloreS.Bingipura,S.Bingipura,uycmAolxxMc@nDYzAq@tBm@xBoAxCo@xAa@jA[dAaAnB_J~Q}H_CaFyAoGmAygCsK@wRzGcAjAHdBiZCyAf@q@fGkE{CFuBSoBeAsBsC@eAgAo@[gZvk@xH~NjAp`@vKlEba@zLxAjLDhSaFdW}Ai@`N|H|@
2,Bangalore,,,BangaloreByandahalli,Byandahalli,yeinA}muwMaBhIa@\\}CxKN|BMpAWhBWpAg@zBa@fAqHxMqSzFeF[C|Ar@zSeCrRaEyA_Tt@FqYGw@aDcBu@{@i@{@EeAJ}@dJi@|@yBKeC][wGuW?]rWkXxADjG`@zLuElNWrC]zHT`DF
2,Bangalore,,,BangaloreHalasahalli,Halasahalli,im}mAw|pyMfJjJxCrIfAxGnBr_@j`@jW|NvG~R\\NcFbAyEq@cFN{@fAwBJ_J?_Ch@{CrAmTdD_YvA_Lh@mUvAgJ`@_FpCsSqTvDuE{@cJiPwYlLwTuAuFdPcBfF{AtIwDdK}BlHBtC
2,Bangalore,,,BangaloreGattahalli,Gattahalli,wjsmAoefyMtEhM|ChNpBAsCnSfD`Jv@nBI~Cze@uDeHj@}A_@}@gEGq@AqAuA}KQ]Fy@Ls@\\kBPsBBo@XmARuCXy@Aa@YS?y@Ru@As@CQYmAAg@ZOdChBrAh@lDNjDDfAAv@[TLaAjBW`BG~BiC|KyBpIItCPzCXlCXjB|j@gJjB_NjJoXlCkFrDqJLiD`A}D~@qIvDeGjBUvAiIUoDcNFwCfBoE\\oOvFuCX}CjDkDbAmFtCgLCgG`CoE|EaFv@qFvDgLlA{QlF
2,Bangalore,,,BangaloreSorahunase,Sorahunase,em_nA}}oyMkFbDkH`@wDpCiFr@cGlAiFjAuHXgEk@uBgCkBcDcBHi@yBrAcAzAyCbBeE?yJyE{K}_@sx@bd@_Un[}SfLmIfCgM`K`VQ`DtBrDvBpDdDbDdH\\`GhBgQb`@mAnlA
2,Bangalore,,,BangaloreKonadasapura,Konadasapura,wfrnAaloyMrIcHhCyL]g\\zI}ArBCNiDNmBCo@yBu@_AwFhAV_Hyh@mFa@q@tAsAdKiIIgHTg^xYeChCq@bCuE|JrRdUfJwE
2,Bangalore,,,BangaloreBidaraguppe,Bidaraguppe,ybdmAk|vyMgG\\_Bg\\vBiIvAgDfMjFtEpElUzKW~BOdCBlAMjAWtCka@eD
2,Bangalore,51188,,BangaloreGottigere,Gottigere,udemAilpxMsJbXkA~@sA?yEvHBlJi@tA{Gd@gDd@{DO}K{@gHB_Gv@qBqq@zCc^bVY~TfOj[jL
2,Bangalore,53127,,BangaloreGunjur,Gunjur,kczmAgamyMsLl@uFwCcK{EJkOlGJxJBbGOKdEJf@tAlB~@tN
2,Bangalore,51112,,BangaloreHalesampigehalli,Halesampigehalli,sbemA{lpxMy_@aOpI_\\pJsBja@~GnBhIq@CoJdR{GrGgDt@
2,Bangalore,#N/A,,BangaloreChikkabidarakallu,Chikkabidarakallu,q}rnAih|wMi\\gM|Hia@va@xN_@jSkMjK
2,Bangalore,,,BangaloreThyvakanahally,Thyvakanahally,_nhmAuruyMzAwMH}L|CoIbG{KwJ_Rx@oc@pKiGoJoFa\\xUsDtHu@iAqEe@iFxKkBvItCdEaAxCx@~M}McAcBYi@_C}I|AeBvF}CHa@sGqEj@fl@vlAxg@tLlHmI_DwMrAoMgDwB
2,Bangalore,,,BangaloreKada Agrahara,Kada Agrahara,ihomA{~pyM~zA`OsMaV`KmT|IuW}HcOqKlLtByh@lH_MsXgUgOsZ_[lGNhDIjFaD|WiDnTeCbKeC|EeDjHWzEo@~Ku@~M|ErKK~P
2,Bangalore,,,BangaloreSuragajakkanahalli,Suragajakkanahalli,wjwlAez~xMQkjA`SgQzYwDrNlGp\\|WjEn@}EnWqFdTaOdGkJbFyJ|Hek@mE
2,Bangalore,,,BangaloreIggalur,Iggalur,oyamAo_hyMtYxCtKnKlBh@M`Cm@nFKvH[tFsAhBa@`C?`DFbBiFpCBrAlC~CpClCXhBcBz@oAbBa@fCcMCuCv@tE|StLzV~WmLyE}P{AeWbc@mc@pQFCeRZyf@`@aVib@qGc@{IkCgBqF|RmBAu@x@iGW}JlAOiCmMpEcBfJwLxS
